,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
16267,22 H. Fagerberg,17,Sweden,52,Mjällby AIF,€170K,€500,Right,1.0,Medium/ Medium,186cm,76.0
16268,22 A. Beiranvand,28,Iran,70,Boavista FC,€1.4M,€9K,Right,1.0,Medium/ Medium,196cm,85.0
16269,R. Solís,24,Peru,66,Club Sporting Cristal,€1.5M,€500,Right,1.0,Medium/ Medium,186cm,79.0
16270,M. Cooper,22,England,68,Plymouth Argyle,€2.3M,€4K,Right,1.0,Medium/ Medium,185cm,75.0
16271,16 A. Hassan,30,Lebanon,56,IF Elfsborg,€80K,€3K,Right,1.0,Medium/ Medium,197cm,95.0
16272,22 M. Murakami,28,Japan,68,Avispa Fukuoka,€850K,€2K,Right,1.0,Medium/ Medium,185cm,85.0
16273,V. Kovacević,24,Bosnia and Herzegovina,70,Raków Częstochowa,€3.1M,€5K,Right,1.0,Medium/ Medium,192cm,81.0
16274,J. Heekeren,21,Germany,63,FC Schalke 04,€925K,€2K,Right,1.0,Medium/ Medium,194cm,86.0
16275,20 B. Roche,37,Republic of Ireland,62,Morecambe,€30K,€1K,Right,1.0,Medium/ Medium,193cm,90.0
16276,M. Carnesecchi,22,Italy,74,Atalanta,€8M,€23K,Right,1.0,Medium/ Medium,191cm,83.0
16277,J. Griffiths,20,England,65,Portsmouth,€1.5M,€4K,Right,1.0,Medium/ Medium,198cm,87.0
16278,S. Tangvik,19,Norway,55,Rosenborg BK,€300K,€500,Right,1.0,Medium/ Medium,185cm,75.0
16279,Andrew,21,Brazil,70,Gil Vicente FC,€3.4M,€3K,Right,1.0,Medium/ Medium,189cm,76.0
16280,22 E. Recalde,25,Ecuador,63,9 de Octubre,€525K,€500,Right,1.0,Medium/ Medium,187cm,81.0
16281,F. de Keijzer,22,Netherlands,70,FC Utrecht,€3.1M,€6K,Right,1.0,Medium/ Medium,193cm,83.0
16282,G. Balanta,20,Colombia,62,Club Deportes Tolima,€850K,€500,Right,1.0,Medium/ Medium,193cm,80.0
16283,21 J. Stejskal,23,Czech Republic,73,SK Slavia Praha,€3.7M,€500,Left,1.0,Medium/ Medium,190cm,78.0
16284,J. Briceño,24,Venezuela,60,Deportivo La Guaira FC,€425K,€500,Right,1.0,Medium/ Medium,180cm,82.0
16285,G. Falcón,25,Uruguay,70,LDU Quito,€1.9M,€500,Right,1.0,Medium/ Medium,190cm,86.0
16286,22 Esteve,23,Spain,63,FC Cartagena,€925K,€1K,Right,1.0,Medium/ Medium,183cm,79.0
16287,A. Letellier,31,France,68,Paris Saint-Germain,€650K,€18K,Right,2.0,Medium/ Medium,193cm,93.0
16288,21 I. Cartés,22,Uruguay,62,Club Plaza de Deportes Colonia,€775K,€500,Right,1.0,Medium/ Medium,180cm,76.0
16289,22 M. Bolboașă,31,Romania,57,FC Academica Clinceni,€90K,€950,Right,1.0,Medium/ Medium,187cm,77.0
16290,22 K. Piric,26,Bosnia and Herzegovina,65,Göztepe SK,€675K,€3K,Right,1.0,Medium/ Medium,192cm,89.0
16291,M. Ilić,24,Serbia,69,KV Kortrijk,€2.4M,€5K,Right,1.0,Medium/ Medium,191cm,81.0
16292,Iago Domínguez,20,Spain,62,CD Mirandés,€850K,€850,Right,1.0,Medium/ Medium,183cm,76.0
16293,20 M. Kuchta,23,Poland,60,Zagłębie Lubin,€240K,€700,Right,1.0,Medium/ Medium,188cm,73.0
16294,M. Jedlička,24,Czech Republic,70,FC Viktoria Plzeň,€1.8M,€500,Right,1.0,Medium/ Medium,187cm,83.0
16295,22 Min Seong Jun,21,Korea Republic,54,Incheon United FC,€230K,€500,Right,1.0,Medium/ Medium,190cm,77.0
16296,V. Drăghia,31,Romania,58,Rapid București,€110K,€1K,Right,1.0,Medium/ Medium,192cm,88.0
16297,B. Verbruggen,19,Netherlands,66,RSC Anderlecht,€1.8M,€2K,Right,1.0,Medium/ Medium,193cm,75.0
16298,22 W. Brown,19,England,55,Newcastle United,€300K,€2K,Right,1.0,Medium/ Medium,184cm,74.0
16299,J. Belshaw,31,England,65,Bristol Rovers,€375K,€2K,Right,1.0,Medium/ Medium,191cm,80.0
16300,M. Delavallée,18,Belgium,56,Royal Charleroi S.C.,€300K,€500,Right,1.0,Medium/ Medium,185cm,75.0
16301,Arnau Tenas,21,Spain,67,FC Barcelona,€2.2M,€16K,Right,1.0,Medium/ Medium,185cm,85.0
16302,22 D. Kleinhensl,21,Germany,60,Türkgücü München,€475K,€550,Right,1.0,Medium/ Medium,183cm,76.0
16303,A. Gremsl,27,Austria,62,SC Rheindorf Altach,€375K,€2K,Left,1.0,Medium/ Medium,190cm,85.0
16304,21 Y. Minami,40,Japan,63,Yokohama FC,€50K,€500,Right,1.0,Medium/ Medium,185cm,78.0
16305,G. Slonina,18,United States,66,Chicago Fire Football Club,€1.7M,€2K,Right,1.0,Medium/ Medium,193cm,89.0
16306,N. Trott,23,England,65,West Ham United,€1.4M,€9K,Left,1.0,Medium/ Medium,188cm,75.0
16307,Javier Izquierdo,21,Spain,63,Real Sporting de Gijón,€925K,€1K,Right,1.0,Medium/ Medium,181cm,76.0
16308,21 C. Higuera,19,Mexico,63,Club Tijuana,€1M,€1K,Right,1.0,Medium/ Medium,182cm,77.0
16309,R. Began,25,Romania,58,Sepsi OSK Sf. Gheorghe,€240K,€2K,Right,1.0,Medium/ Medium,194cm,91.0
16310,21 Gasca,20,Spain,58,SD Huesca,€375K,€2K,Right,1.0,Medium/ Medium,182cm,78.0
16311,21 L. Fernández,42,Colombia,61,Sociedad Deportiva Aucas,€35K,€500,Right,1.0,Medium/ Medium,187cm,82.0
16312,J. Dixon,28,England,62,Bolton Wanderers,€325K,€2K,Right,1.0,Medium/ Medium,193cm,72.0
16313,22 Christian Gómez,21,Spain,65,Atlético de Madrid,€1.5M,€5K,Right,1.0,Medium/ Medium,187cm,80.0
16314,D. Alemdar,19,Turkey,72,Stade Rennais FC,€4.4M,€9K,Right,1.0,Medium/ Medium,189cm,73.0
16315,B. Poveda,18,Bolivia,64,Club Deportivo Jorge Wilstermann,€1.2M,€500,Left,1.0,Medium/ Medium,181cm,73.0
16316,22 W. Rojas,28,Bolivia,61,Club Atlético Palmaflor,€300K,€500,Right,1.0,Medium/ Medium,181cm,72.0
16317,T. Sander,17,Denmark,58,Aalborg BK,€450K,€500,Right,1.0,Medium/ Medium,189cm,80.0
16318,T. Schreiber,20,Germany,66,Holstein Kiel,€1.8M,€6K,Right,1.0,Medium/ Medium,190cm,87.0
16319,J. Eastwood,25,England,61,Ross County FC,€375K,€3K,Right,1.0,Medium/ Medium,190cm,81.0
16320,A. Desmas,28,France,69,Le Havre AC,€1.1M,€3K,Right,1.0,Medium/ Medium,196cm,87.0
16321,A. Palmer,25,England,66,West Bromwich Albion,€1M,€7K,Right,1.0,Medium/ Medium,191cm,85.0
16322,A. Mandous,30,Czech Republic,75,SK Slavia Praha,€3.7M,€950,Left,1.0,Medium/ Medium,188cm,85.0
16323,22 N. Baumann,25,Switzerland,70,FC Lugano,€1.9M,€5K,Right,1.0,Medium/ Medium,192cm,83.0
16324,L. Amadé,22,Argentina,61,Defensa y Justicia,€650K,€2K,Right,1.0,Medium/ Medium,194cm,87.0
16325,22 Acín,20,Spain,60,Real Zaragoza,€475K,€850,Right,1.0,Medium/ Medium,183cm,77.0
16326,A. Šemper,24,Croatia,70,Genoa,€1.7M,€2K,Right,1.0,Medium/ Medium,194cm,89.0
16327,22 Cañizares,19,Spain,62,Real Madrid CF,€900K,€6K,Right,1.0,Medium/ Medium,186cm,81.0
16328,22 A. Hruška,35,Czech Republic,71,FC Viktoria Plzeň,€210K,€500,Right,1.0,Medium/ Medium,193cm,90.0
16329,M. Bułka,22,Poland,73,OGC Nice,€5.5M,€19K,Right,1.0,Medium/ Medium,199cm,90.0
16330,22 S. van der Heijden,16,Netherlands,59,FC Utrecht,€500K,€500,Right,1.0,Medium/ Medium,190cm,87.0
16331,22 L. Zidane,23,France,69,Rayo Vallecano,€2.4M,€6K,Right,1.0,Medium/ Medium,183cm,78.0
16332,T. Boulhendi,21,Algeria,63,OGC Nice,€925K,€4K,Right,1.0,Medium/ Medium,185cm,77.0
16333,D. Balauru,32,Romania,61,AFC UTA Arad,€160K,€1K,Left,1.0,Medium/ Medium,189cm,80.0
16334,21 R. Cerecedo,22,Mexico,56,Club Universidad Nacional,€275K,€1K,Right,1.0,Medium/ Medium,181cm,71.0
16335,16 L. Bucchi,31,Italy,57,FC Luzern,€90K,€2K,Right,1.0,Medium/ Medium,186cm,83.0
16336,Antonio Gomís,19,Spain,63,Atlético de Madrid,€1M,€3K,Left,1.0,Medium/ Medium,188cm,80.0
16337,D. Petrić,34,Slovenia,68,FC Nantes,€210K,€8K,Right,1.0,Medium/ Medium,187cm,80.0
16338,22 I. Ouchi,20,Japan,58,Yokohama FC,€375K,€500,Right,1.0,Medium/ Medium,184cm,79.0
16339,09 I. Roper,31,England,54,Luton Town,€0,€0,Right,2.0,N/A/ N/A,191cm,89.0
16340,K. Scherpen,22,Netherlands,67,Brighton & Hove Albion,€2M,€12K,Right,1.0,Medium/ Medium,202cm,85.0
16341,Đ. Petrović,22,Serbia,67,New England Revolution,€2M,€2K,Right,1.0,Medium/ Medium,194cm,88.0
16342,22 A. Gudiño,24,Mexico,66,Cruz Azul,€1.6M,€10K,Right,1.0,Medium/ Medium,183cm,86.0
16343,S. MacDonald,25,England,61,Cheltenham Town,€325K,€1K,Right,1.0,Medium/ Medium,185cm,74.0
16344,07 C. Mengi,19,Germany,56,Çaykur Rizespor,€0,€0,Right,2.0,N/A/ N/A,176cm,72.0
16345,R. Byrne,19,England,55,Leyton Orient,€240K,€750,Right,1.0,Medium/ Medium,180cm,80.0
16346,Joel Jiménez,22,Spain,63,Real Sporting de Gijón,€925K,€1K,Right,1.0,Medium/ Medium,187cm,79.0
16347,Aceves,18,Spain,63,Real Valladolid CF,€975K,€500,Right,1.0,Medium/ Medium,189cm,81.0
16348,21 S. Amorín,25,Uruguay,65,Liverpool Fútbol Club,€825K,€500,Right,1.0,Medium/ Medium,183cm,83.0
16349,22 R. Brüseke,27,Germany,62,Sportclub Verl,€300K,€500,Left,1.0,Medium/ Medium,186cm,71.0
16350,M. Barsham,24,Qatar,65,,€0,€0,Right,1.0,Medium/ Medium,178cm,72.0
16351,Iker Álvarez,20,Andorra,61,Villarreal Club de Fútbol B,€625K,€700,Right,1.0,Medium/ Medium,190cm,78.0
16352,S. Cibois,24,France,66,Rodez Aveyron Football,€1.1M,€1K,Right,1.0,Medium/ Medium,192cm,83.0
16353,C. Varela,22,Venezuela,66,Deportivo Táchira FC,€1.7M,€500,Left,1.0,Medium/ Medium,187cm,74.0
16354,13 S. Mathison,20,Scotland,56,Inverness Caledonian Thistle,€100K,€2K,Right,1.0,Medium/ Medium,185cm,75.0
16355,M. Paes,24,Netherlands,69,FC Dallas,€1.8M,€3K,Right,1.0,Medium/ Medium,191cm,82.0
16356,22 I. Svinov,20,Russia,64,Spartak Moskva,€1.1M,€6K,Right,1.0,Medium/ Medium,190cm,81.0
16357,P. Sequeira,23,Costa Rica,61,CD Lugo,€550K,€1K,Right,1.0,Medium/ Medium,190cm,70.0
16358,R. Bacchia,23,Uruguay,66,Club Atlético Independiente,€1M,€3K,Right,1.0,Medium/ Medium,185cm,80.0
16359,G. Gambetta,23,Peru,61,Sport Boys,€400K,€500,Right,1.0,Medium/ Medium,184cm,82.0
16360,G. Crettaz,22,Argentina,64,Málaga CF,€1.1M,€1K,Right,1.0,Medium/ Medium,181cm,78.0
16361,G. Bushchan,28,Ukraine,75,Dynamo Kyiv,€5M,€800,Right,1.0,Medium/ Medium,196cm,84.0
16362,P. Trujillo,22,Peru,60,Cienciano,€425K,€500,Right,1.0,Medium/ Medium,165cm,60.0
16363,Agirrezabala,21,Spain,68,Athletic Club de Bilbao,€2.6M,€5K,Left,1.0,Medium/ Medium,187cm,80.0
16364,E. Caprile,20,Italy,67,Bari,€2.1M,€900,Right,1.0,Medium/ Medium,191cm,73.0
16365,10 J. Chandler,21,England,55,Sunderland,€0,€0,Right,2.0,N/A/ N/A,170cm,68.0
16366,22 K. Nagai,26,Japan,61,Shimizu S-Pulse,€325K,€700,Right,1.0,Medium/ Medium,184cm,80.0
16367,21 Froilán,19,Spain,60,CE Sabadell FC,€500K,€500,Right,1.0,Medium/ Medium,182cm,73.0
16368,Daniel Figueira,23,Portugal,71,Estoril Praia,€3.6M,€4K,Right,1.0,Medium/ Medium,189cm,82.0
16369,M. Šarkić,24,Montenegro,68,Wolverhampton Wanderers,€1.5M,€16K,Right,1.0,Medium/ Medium,195cm,76.0
16370,12 V. Runje,35,Croatia,70,,€0,€0,Left,1.0,Medium/ Medium,184cm,85.0
16371,I. Danlad,19,Ghana,68,,€0,€0,Right,1.0,Medium/ Medium,179cm,76.0
16372,L. Grill,23,Germany,69,1. FC Union Berlin,€1.6M,€13K,Right,1.0,Medium/ Medium,192cm,85.0
16373,21 F. López,24,Mexico,64,Fútbol Club Juárez,€700K,€2K,Right,1.0,Medium/ Medium,181cm,75.0
16374,D. Kotarski,22,Croatia,68,PAOK,€2.3M,€500,Right,1.0,Medium/ Medium,189cm,75.0
16375,20 G. Plechero,16,Italy,61,Cittadella,€425K,€500,Right,1.0,Medium/ Medium,180cm,74.0
16376,C. Eriksson,27,Finland,64,Dundee United,€575K,€1K,Right,1.0,Medium/ Medium,191cm,81.0
16377,G. De Amores,27,Uruguay,68,Club Atlético Lanús,€1.2M,€5K,Right,1.0,Medium/ Medium,186cm,78.0
16378,Ricardo Silva,23,Portugal,65,Santa Clara,€925K,€1K,Right,1.0,Medium/ Medium,189cm,84.0
16379,22 E. Kılıçarslan,23,Turkey,59,Gazişehir Gaziantep F.K.,€375K,€1K,Right,1.0,Medium/ Medium,187cm,82.0
16380,22 G. Centurión,18,Uruguay,62,Club Nacional de Football,€800K,€500,Right,1.0,Medium/ Medium,181cm,83.0
16381,S. Mele,24,Uruguay,70,Unión de Santa Fe,€2.7M,€5K,Right,1.0,Medium/ Medium,184cm,79.0
16382,22 R. Bentancur,32,Uruguay,65,Cerro Largo Fútbol Club,€350K,€500,Right,1.0,Medium/ Medium,184cm,78.0
16383,Tiago Martins,23,Portugal,62,SD Huesca,€475K,€1K,Right,1.0,Medium/ Medium,185cm,80.0
16384,K. Sentić,21,Croatia,63,Hajduk Split,€1M,€500,Right,1.0,Medium/ Medium,193cm,82.0
16385,22 H. Halldórsson,37,Iceland,64,,€0,€0,Right,1.0,Medium/ Medium,193cm,88.0
16386,C. Ripley,29,England,62,Morecambe,€325K,€1K,Right,1.0,Medium/ Medium,191cm,96.0
16387,22 N. Abe,37,Japan,58,FC Tokyo,€25K,€900,Left,1.0,Medium/ Medium,186cm,81.0
16388,A. Medina,35,Argentina,69,Arsenal de Sarandí,€150K,€3K,Right,1.0,Medium/ Medium,181cm,79.0
16389,C. Ortíz,29,Ecuador,65,Delfín Sporting Club,€500K,€500,Right,1.0,Medium/ Medium,178cm,75.0
16390,M. Ramírez,21,Ecuador,68,Independiente del Valle,€2.6M,€500,Right,1.0,Medium/ Medium,183cm,73.0
16391,L. Gütlbauer,21,Austria,64,RZ Pellets Wolfsberger AC,€1.1M,€2K,Right,1.0,Medium/ Medium,191cm,80.0
16392,C. Raatsie,20,Netherlands,59,FC Utrecht,€475K,€1K,Right,1.0,Medium/ Medium,188cm,81.0
16393,S. Lentinelly,24,Uruguay,66,Liverpool Fútbol Club,€1.1M,€500,Right,1.0,Medium/ Medium,184cm,81.0
16394,N. Aslan,24,Turkey,57,MKE Ankaragücü,€200K,€1K,Right,1.0,Medium/ Medium,202cm,87.0
16395,J. Camargo,24,Venezuela,65,Hermanos Colmenarez,€875K,€500,Right,1.0,Medium/ Medium,190cm,80.0
16396,21 C. Fiermarin,22,Uruguay,69,Montevideo City Torque,€2.7M,€5K,Right,1.0,Medium/ Medium,189cm,72.0
16397,C. Mizell,30,United States,56,New York City FC,€110K,€1K,Right,1.0,Medium/ Medium,185cm,85.0
16398,22 T. Yamanoi,22,Japan,57,Avispa Fukuoka,€200K,€550,Right,1.0,Medium/ Medium,185cm,80.0
16399,22 F. Palmowski,20,Germany,61,Hertha BSC,€625K,€3K,Right,1.0,Medium/ Medium,185cm,78.0
16400,J. Pinos,32,Ecuador,68,9 de Octubre,€600K,€500,Right,1.0,Medium/ Medium,187cm,85.0
16401,21 Á. García,36,Uruguay,61,Club Plaza de Deportes Colonia,€35K,€500,Right,1.0,Medium/ Medium,186cm,76.0
16402,E. Green,21,England,73,AS Saint-Étienne,€6M,€4K,Right,1.0,Medium/ Medium,192cm,78.0
16403,21 G. Georgiev,31,Bulgaria,64,,€0,€0,Right,1.0,Medium/ Medium,189cm,85.0
16404,22 I. Vekič,23,Slovenia,62,FC Paços de Ferreira,€500K,€1K,Right,1.0,Medium/ Medium,192cm,86.0
16405,Lucas Covolan,31,Brazil,62,Port Vale,€210K,€1K,Right,1.0,Medium/ Medium,193cm,85.0
16406,P. Szappanos,31,Hungary,65,,€0,€0,Right,1.0,Medium/ Medium,194cm,93.0
16407,L. Chevalier,20,France,67,LOSC Lille,€2.4M,€5K,Right,1.0,Medium/ Medium,192cm,78.0
16408,20 G. Bokwé,29,Cameroon,61,Mjøndalen IF,€200K,€700,Right,1.0,Medium/ Medium,180cm,82.0
16409,22 Y. Hayasaka,22,Japan,58,Kawasaki Frontale,€350K,€1K,Right,1.0,Medium/ Medium,184cm,78.0
16410,Sergio Díaz,24,Spain,62,FC Cartagena,€675K,€1K,Right,1.0,Medium/ Medium,181cm,73.0
16411,21 L. Bősz,26,Hungary,58,CSM Politehnica Iași,€220K,€1K,Right,1.0,Medium/ Medium,189cm,80.0
16412,I. Pandur,22,Croatia,72,Fortuna Sittard,€4.1M,€12K,Right,1.0,Medium/ Medium,187cm,78.0
16413,22 Z. Suzuki,18,Japan,62,Urawa Red Diamonds,€800K,€500,Right,1.0,Medium/ Medium,189cm,91.0
16414,S. Turati,20,Italy,66,Frosinone,€1.8M,€4K,Right,1.0,Medium/ Medium,188cm,85.0
16415,J. Barbieri,26,Peru,63,Cienciano,€475K,€500,Right,1.0,Medium/ Medium,182cm,80.0
16416,22 A. Ahlin,24,Sweden,59,IK Sirius,€250K,€500,Right,1.0,Medium/ Medium,182cm,84.0
16417,Song Bum Keun,24,Korea Republic,70,Jeonbuk Hyundai Motors,€3.1M,€4K,Right,1.0,Medium/ Medium,194cm,88.0
16418,R. Neshcheret,20,Ukraine,66,Dynamo Kyiv,€1.8M,€500,Right,1.0,Medium/ Medium,190cm,81.0
16419,Chanza,24,Spain,62,UD Ibiza,€775K,€950,Right,1.0,Medium/ Medium,182cm,74.0
16420,D. Strindholm,20,Sweden,62,Málaga CF,€850K,€900,Right,1.0,Medium/ Medium,190cm,80.0
16421,D. Holec,27,Slovakia,72,AC Sparta Praha,€2.1M,€600,Right,1.0,Medium/ Medium,191cm,89.0
16422,11 J. Lindr,23,Czech Republic,58,FC Hradec Králové,€0,€0,Right,1.0,N/A/ N/A,191cm,83.0
16423,André Paulo,25,Portugal,65,Sporting CP,€825K,€2K,Right,1.0,Medium/ Medium,185cm,78.0
16424,22 Y. Irrazábal,33,Uruguay,69,Club Atlético Rentistas,€450K,€500,Right,1.0,Medium/ Medium,181cm,81.0
16425,K. Skjærstein,26,Norway,62,Lillestrøm SK,€400K,€850,Left,1.0,Medium/ Medium,190cm,87.0
16426,I. De Arruabarrena,25,Uruguay,68,FC Arouca,€1.4M,€2K,Right,1.0,Medium/ Medium,183cm,79.0
16427,22 L. Peraggini,19,Argentina,58,Club Atlético Lanús,€425K,€800,Left,1.0,Medium/ Medium,186cm,87.0
16428,R. Perea,32,Ecuador,64,Mushuc Runa,€300K,€500,Right,1.0,Medium/ Medium,178cm,75.0
16429,J. Cuéllar,22,Bolivia,65,Club Deportivo Guabirá,€1.2M,€500,Left,1.0,Medium/ Medium,182cm,78.0
16430,J. Jackson,22,United States,54,New England Revolution,€230K,€800,Right,1.0,Medium/ Medium,180cm,86.0
16431,João Oliveira,19,Portugal,60,Estoril Praia,€500K,€500,Right,1.0,Medium/ Medium,185cm,78.0
16432,21 K. Córdova,20,United States,58,Club Atlético Grau,€350K,€500,Right,1.0,Medium/ Medium,179cm,71.0
16433,J. Bigo,23,Argentina,65,Arsenal de Sarandí,€1.4M,€2K,Left,1.0,Medium/ Medium,183cm,80.0
16434,Miguel Morro,21,Spain,65,Rayo Vallecano,€1.5M,€2K,Left,1.0,Medium/ Medium,193cm,79.0
16435,N. Campisi,25,Argentina,68,Club Atlético Huracán,€1.3M,€4K,Right,1.0,Medium/ Medium,186cm,88.0
16436,22 J. Peña,22,Peru,60,Carlos A. Mannucci,€425K,€500,Right,1.0,Medium/ Medium,185cm,80.0
16437,22 J. Roca,22,Bolivia,65,Club Atlético Nacional Potosí,€1.2M,€500,Right,1.0,Medium/ Medium,187cm,80.0
16438,S. Niazmand,27,Iran,68,Portimonense SC,€1.2M,€3K,Right,1.0,Medium/ Medium,190cm,84.0
16439,J. Anang,22,England,64,St. Patrick's Athletic,€775K,€8K,Right,1.0,Medium/ Medium,183cm,78.0
16440,N. Peranic,37,Argentina,71,Universidad Católica,€210K,€4K,Right,1.0,Medium/ Medium,183cm,79.0
16441,A. Christodoulou,25,Cyprus,65,APOEL Nicosia FC,€675K,€500,Right,1.0,Medium/ Medium,188cm,83.0
16442,S. Breza,24,Canada,64,Club de Foot Montréal,€675K,€4K,Right,1.0,Medium/ Medium,193cm,87.0
16443,X. Dziekoński,18,Poland,62,Raków Częstochowa,€800K,€500,Right,1.0,Medium/ Medium,188cm,78.0
16444,G. Kobylak,20,Poland,61,Radomiak Radom,€700K,€900,Right,1.0,Medium/ Medium,190cm,84.0
16445,Y. Fofana,21,France,69,Angers SCO,€2.7M,€5K,Right,1.0,Medium/ Medium,194cm,89.0
16446,22 G. Ratcliffe,20,Wales,61,Cardiff City,€700K,€3K,Right,1.0,Medium/ Medium,184cm,79.0
16447,A. Meyer,31,Germany,71,Borussia Dortmund,€1M,€18K,Right,1.0,Medium/ Medium,195cm,90.0
16448,V. Mendoza,27,Ecuador,66,Barcelona Sporting Club,€850K,€500,Left,1.0,Medium/ Medium,190cm,90.0
16449,07 G. Warmuz,36,France,76,AS Monaco,€0,€0,Right,3.0,N/A/ N/A,187cm,85.0
16450,A. Livieri,25,Italy,65,Pisa,€875K,€1K,Left,1.0,Medium/ Medium,190cm,79.0
16451,N. Mantl,22,Germany,69,FC Red Bull Salzburg,€1.8M,€8K,Right,1.0,Medium/ Medium,193cm,88.0
16452,22 F. Tapia,20,Mexico,61,Club América,€700K,€3K,Right,1.0,Medium/ Medium,185cm,79.0
16453,22 C. Dur-Bozoancă,23,Romania,59,FC Farul Constanța,€425K,€1K,Left,1.0,Medium/ Medium,182cm,84.0
16454,F. Jörgensen,20,Sweden,64,Villarreal Club de Fútbol B,€1.2M,€950,Right,1.0,Medium/ Medium,189cm,77.0
16455,B. Al Enazi,22,Saudi Arabia,55,Al Tai,€250K,€2K,Right,1.0,Medium/ Medium,178cm,70.0
16456,22 D. Franchi,18,Italy,61,Paris Saint-Germain,€675K,€900,Right,1.0,Medium/ Medium,189cm,81.0
16457,M. Mijatović,34,Montenegro,66,Al Adalah,€150K,€5K,Right,1.0,Medium/ Medium,190cm,94.0
16458,22 C. Rodas,19,Mexico,56,Pachuca,€300K,€850,Right,1.0,Medium/ Medium,194cm,83.0
16459,S. Meza,22,Argentina,65,Club Atlético Sarmiento,€1.4M,€2K,Right,1.0,Medium/ Medium,185cm,78.0
16460,22 L. Bonelli,18,France,59,FC Nantes,€400K,€500,Right,1.0,Medium/ Medium,191cm,81.0
16461,R. Avram,29,Romania,60,Petrolul Ploiești,€170K,€1K,Right,1.0,Medium/ Medium,195cm,82.0
16462,M. Bernatene,21,Uruguay,61,Club Nacional de Football,€650K,€500,Right,1.0,Medium/ Medium,186cm,80.0
16463,E. Destanoğlu,21,Turkey,75,Beşiktaş JK,€7.5M,€21K,Right,1.0,Medium/ Medium,195cm,88.0
16464,22 D. Kąkolewski,25,Poland,58,Bruk-Bet Termalica Nieciecza,€240K,€1K,Right,1.0,Medium/ Medium,192cm,81.0
16465,22 L. Cueva,20,Ecuador,60,C.D. Universidad Católica del Ecuador,€475K,€500,Right,1.0,Medium/ Medium,180cm,78.0
16466,M. McGovern,37,Northern Ireland,66,Norwich City,€90K,€6K,Right,1.0,Medium/ Medium,191cm,89.0
16467,G. Parra,20,Venezuela,60,Metropolitanos de Caracas FC,€525K,€500,Left,1.0,Medium/ Medium,180cm,78.0
16468,O. Djoco,24,France,69,Clermont Foot 63,€1.5M,€6K,Left,1.0,Medium/ Medium,188cm,90.0
16469,21 Á. Luna,17,Uruguay,54,Club Plaza de Deportes Colonia,€300K,€500,Right,1.0,Medium/ Medium,180cm,74.0
16470,22 A. Stergiakis,22,Greece,64,Blackburn Rovers,€1.1M,€6K,Right,1.0,Medium/ Medium,196cm,60.0
16471,22 M. Kovář,21,Czech Republic,62,Burton Albion,€775K,€750,Right,1.0,Medium/ Medium,192cm,83.0
16472,22 Kewin,26,Brazil,68,Moreirense FC,€1.3M,€4K,Right,1.0,Medium/ Medium,189cm,84.0
16473,E. Arauz,32,Bolivia,66,Club Deportivo Guabirá,€425K,€500,Right,1.0,Medium/ Medium,180cm,76.0
16474,B. Unger,23,Austria,61,SK Rapid Wien,€550K,€3K,Right,1.0,Medium/ Medium,190cm,83.0
16475,22 J. Pucheta,29,Argentina,67,Club Social y Deportivo Macará,€850K,€500,Right,1.0,Medium/ Medium,184cm,83.0
16476,22 J. Eastham,19,England,60,Blackburn Rovers,€500K,€2K,Right,1.0,Medium/ Medium,181cm,65.0
16477,R. Popa,19,Romania,64,FC U Craiova 1948,€1.2M,€1K,Right,1.0,Medium/ Medium,190cm,83.0
16478,21 J. Pretel,36,Peru,62,Cusco Fútbol Club,€45K,€500,Right,1.0,Medium/ Medium,189cm,89.0
16479,22 M. Eșanu,22,Romania,63,FC Dinamo 1948 Bucureşti,€825K,€850,Right,1.0,Medium/ Medium,188cm,75.0
16480,21 S. Omossola,22,Cameroon,64,,€0,€0,Right,1.0,Medium/ Medium,185cm,75.0
16481,21 João Silva,20,Portugal,60,Futebol Clube de Famalicão,€475K,€900,Right,1.0,Medium/ Medium,185cm,72.0
16482,J. Tånnander,21,Sweden,61,HJK Helsinki,€700K,€500,Left,1.0,Medium/ Medium,191cm,80.0
16483,C. Tapia,20,Ecuador,60,Mushuc Runa,€475K,€500,Right,1.0,Medium/ Medium,184cm,78.0
16484,M. Acosta,20,Argentina,60,Argentinos Juniors,€475K,€1K,Right,1.0,Medium/ Medium,189cm,80.0
16485,T. Jansen,20,Netherlands,60,Feyenoord,€525K,€850,Right,1.0,Medium/ Medium,192cm,75.0
16486,Y. Meykher,22,Ukraine,64,Real Valladolid CF,€1.1M,€3K,Right,1.0,Medium/ Medium,184cm,79.0
16487,S. Moroz,24,Romania,59,Petrolul Ploiești,€300K,€850,Right,1.0,Medium/ Medium,180cm,74.0
16488,21 J. Ospelt,20,Liechtenstein,57,FC Vaduz,€350K,€700,Right,1.0,Medium/ Medium,188cm,82.0
16489,L. Marquines,19,Colombia,61,Atlético Nacional,€750K,€500,Right,1.0,Medium/ Medium,187cm,83.0
16490,22 R. Rivas,36,Bolivia,61,Club Atlético Nacional Potosí,€35K,€500,Right,1.0,Medium/ Medium,186cm,80.0
16491,22 M. Krasniqi,28,Sweden,58,Örebro SK,€170K,€800,Right,1.0,Medium/ Medium,187cm,82.0
16492,N. Atubolu,20,Germany,65,Sport-Club Freiburg,€1.4M,€3K,Right,1.0,Medium/ Medium,190cm,96.0
